Site,Floor,Row ,Cabinet,Type,Chassis ,Cluster,Hostgroup,RU,Hostname,Slot,Type,Model Name,Serial Number,Commission date,Description,Status
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U11,c22-04,4,C6320,PowerEdge C6320,1S96QD2,1/1/17,Compute Node,Production
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U13,c23-01,1,C6320,PowerEdge C6320,1SB6QD2,1/1/17,Compute Node,Production
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U13,c23-02,2,C6320,PowerEdge C6320,1SB7QD2,1/1/17,Compute Node,Production
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U13,c23-03,3,C6320,PowerEdge C6320,1SB5QD2,1/1/17,Compute Node,Production
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U13,c23-04,4,C6320,PowerEdge C6320,1SB4QD2,1/1/17,Compute Node,Production
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U15,c24-01,1,C6320,PowerEdge C6320,1S4FQD2,1/1/17,Compute Node,Production
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U15,c24-02,2,C6320,PowerEdge C6320,1S4DQD2,1/1/17,Compute Node,Production
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U15,c24-03,3,C6320,PowerEdge C6320,1S55QD2,1/1/17,Compute Node,Production
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U15,c24-04,4,C6320,PowerEdge C6320,1S54QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-009,Server,PowerEdge C6320 Server Node,Prince,dell,U3,c25-01,1,C6320,PowerEdge C6320,1SFBQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-009,Server,PowerEdge C6320 Server Node,Prince,dell,U3,c25-02,2,C6320,PowerEdge C6320,1SF9QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-009,Server,PowerEdge C6320 Server Node,Prince,dell,U3,c25-03,3,C6320,PowerEdge C6320,1SFCQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-009,Server,PowerEdge C6320 Server Node,Prince,dell,U3,c25-04,4,C6320,PowerEdge C6320,1SFDQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U1,c26-01,1,M630,PowerEdge M630,360BS52,1/1/17,Compute Node,Production
